x,y,layer1,layer2,voltage1,voltage2,current
1088.08,3329.4,TOP_LAYER,INT1__GND_,0.0027517,0.0027517,-0
1088.08,3329.4,INT1__GND_,INT2__SIGN_,0.0027517,0.0027517,-0
1088.08,3329.4,INT2__SIGN_,INT3__SIGN_,0.0027517,0.0027517,-2.25899e-15
1088.08,3329.4,INT3__SIGN_,INT4__PWR_,0.0027517,0.0027517,-6.09483e-16
1088.08,3329.4,INT4__PWR_,BOTTOM_LAYER,0.0027517,0.0027517,-0
1088.08,3378.61,TOP_LAYER,INT1__GND_,0.00275324,0.00275324,-0
1088.08,3378.61,INT1__GND_,INT2__SIGN_,0.00275324,0.00275324,-0
1088.08,3378.61,INT2__SIGN_,INT3__SIGN_,0.00275324,0.00275324,-2.25899e-15
1088.08,3378.61,INT3__SIGN_,INT4__PWR_,0.00275324,0.00275324,-6.09483e-16
1088.08,3378.61,INT4__PWR_,BOTTOM_LAYER,0.00275324,0.00275324,-0
1088.08,3427.82,TOP_LAYER,INT1__GND_,0.00275403,0.00275403,-0
1088.08,3427.82,INT1__GND_,INT2__SIGN_,0.00275403,0.00275403,-0
1088.08,3427.82,INT2__SIGN_,INT3__SIGN_,0.00275403,0.00275403,-2.25899e-15
1088.08,3427.82,INT3__SIGN_,INT4__PWR_,0.00275403,0.00275403,-6.09483e-16
1088.08,3427.82,INT4__PWR_,BOTTOM_LAYER,0.00275403,0.00275403,-0
1088.08,3477.03,TOP_LAYER,INT1__GND_,0.00275483,0.00275483,-0
1088.08,3477.03,INT1__GND_,INT2__SIGN_,0.00275483,0.00275483,-6.09483e-16
1088.08,3477.03,INT2__SIGN_,INT3__SIGN_,0.00275483,0.00275483,-0
1088.08,3477.03,INT3__SIGN_,INT4__PWR_,0.00275483,0.00275483,-6.09483e-16
1088.08,3477.03,INT4__PWR_,BOTTOM_LAYER,0.00275483,0.00275483,-0
1088.08,3526.25,TOP_LAYER,INT1__GND_,0.00275564,0.00275564,-0
1088.08,3526.25,INT1__GND_,INT2__SIGN_,0.00275564,0.00275564,-0
1088.08,3526.25,INT2__SIGN_,INT3__SIGN_,0.00275564,0.00275564,-2.25899e-15
1088.08,3526.25,INT3__SIGN_,INT4__PWR_,0.00275564,0.00275564,-6.09483e-16
1088.08,3526.25,INT4__PWR_,BOTTOM_LAYER,0.00275564,0.00275564,-0
1088.08,3575.46,TOP_LAYER,INT1__GND_,0.00275728,0.00275728,-0
1088.08,3575.46,INT1__GND_,INT2__SIGN_,0.00275728,0.00275728,-0
1088.08,3575.46,INT2__SIGN_,INT3__SIGN_,0.00275728,0.00275728,-2.25899e-15
1088.08,3575.46,INT3__SIGN_,INT4__PWR_,0.00275728,0.00275728,-6.09483e-16
1088.08,3575.46,INT4__PWR_,BOTTOM_LAYER,0.00275728,0.00275728,-0
1088.08,3624.67,TOP_LAYER,INT1__GND_,0.00275811,0.00275811,-0
1088.08,3624.67,INT1__GND_,INT2__SIGN_,0.00275811,0.00275811,-6.09483e-16
1088.08,3624.67,INT2__SIGN_,INT3__SIGN_,0.00275811,0.00275811,-0
1088.08,3624.67,INT3__SIGN_,INT4__PWR_,0.00275811,0.00275811,-6.09483e-16
1088.08,3624.67,INT4__PWR_,BOTTOM_LAYER,0.00275811,0.00275811,-0
1088.08,3673.88,TOP_LAYER,INT1__GND_,0.00275894,0.00275894,-0
1088.08,3673.88,INT1__GND_,INT2__SIGN_,0.00275894,0.00275894,-0
1088.08,3673.88,INT2__SIGN_,INT3__SIGN_,0.00275894,0.00275894,-2.25899e-15
1088.08,3673.88,INT3__SIGN_,INT4__PWR_,0.00275894,0.00275894,-6.09483e-16
1088.08,3673.88,INT4__PWR_,BOTTOM_LAYER,0.00275894,0.00275894,-0
1088.08,3723.1,TOP_LAYER,INT1__GND_,0.00275977,0.00275977,-0
1088.08,3723.1,INT1__GND_,INT2__SIGN_,0.00275977,0.00275977,-1.82845e-15
1088.08,3723.1,INT2__SIGN_,INT3__SIGN_,0.00275977,0.00275977,-2.25899e-15
1088.08,3723.1,INT3__SIGN_,INT4__PWR_,0.00275977,0.00275977,-6.09483e-16
1088.08,3723.1,INT4__PWR_,BOTTOM_LAYER,0.00275977,0.00275977,-0
1088.08,3772.31,TOP_LAYER,INT1__GND_,0.00276142,0.00276142,-0
1088.08,3772.31,INT1__GND_,INT2__SIGN_,0.00276142,0.00276142,-6.09483e-16
1088.08,3772.31,INT2__SIGN_,INT3__SIGN_,0.00276142,0.00276142,-0
1088.08,3772.31,INT3__SIGN_,INT4__PWR_,0.00276142,0.00276142,-6.09483e-16
1088.08,3772.31,INT4__PWR_,BOTTOM_LAYER,0.00276142,0.00276142,-0
1088.08,3821.52,TOP_LAYER,INT1__GND_,0.00276223,0.00276223,-0
1088.08,3821.52,INT1__GND_,INT2__SIGN_,0.00276223,0.00276223,-0
1088.08,3821.52,INT2__SIGN_,INT3__SIGN_,0.00276223,0.00276223,-2.25899e-15
1088.08,3821.52,INT3__SIGN_,INT4__PWR_,0.00276223,0.00276223,-6.09483e-16
1088.08,3821.52,INT4__PWR_,BOTTOM_LAYER,0.00276223,0.00276223,-0
1088.08,3870.74,TOP_LAYER,INT1__GND_,0.00276304,0.00276304,-0
1088.08,3870.74,INT1__GND_,INT2__SIGN_,0.00276304,0.00276304,-6.09483e-16
1088.08,3870.74,INT2__SIGN_,INT3__SIGN_,0.00276304,0.00276304,-0
1088.08,3870.74,INT3__SIGN_,INT4__PWR_,0.00276304,0.00276304,-6.09483e-16
1088.08,3870.74,INT4__PWR_,BOTTOM_LAYER,0.00276304,0.00276304,-0
1088.08,3919.95,TOP_LAYER,INT1__GND_,0.00276465,0.00276465,-0
1088.08,3919.95,INT1__GND_,INT2__SIGN_,0.00276465,0.00276465,-6.09483e-16
1088.08,3919.95,INT2__SIGN_,INT3__SIGN_,0.00276465,0.00276465,-0
1088.08,3919.95,INT3__SIGN_,INT4__PWR_,0.00276465,0.00276465,-6.09483e-16
1088.08,3919.95,INT4__PWR_,BOTTOM_LAYER,0.00276465,0.00276465,-0
